"TERMS AND CONDITIONS"
"https://www.bankofcanada.ca/terms/"

"SERIES"
"id","label","description"
"FXUSDCAD","USD/CAD","US dollar to Canadian dollar daily exchange rate"

"OBSERVATIONS"
"date","FXUSDCAD"
"2020-12-24","1.2835"
"2020-12-29","1.2806"
"2020-12-30","1.2769"
"2020-12-31","1.2732"
"2021-01-04","1.2751"
"2021-01-05","1.2707"
"2021-01-06","1.2685"
"2021-01-07","1.2707"
"2021-01-08","1.2705"
"2021-01-11","1.2788"
"2021-01-12","1.2746"
"2021-01-13","1.2710"
"2021-01-14","1.2654"
"2021-01-15","1.2727"
"2021-01-18","1.2762"
"2021-01-19","1.2735"
"2021-01-20","1.2656"
"2021-01-21","1.2627"
"2021-01-22","1.2716"
"2021-01-25","1.2738"
"2021-01-26","1.2702"
"2021-01-27","1.2775"
"2021-01-28","1.2810"
"2021-01-29","1.2780"
"2021-02-01","1.2824"
"2021-02-02","1.2818"
"2021-02-03","1.2783"
"2021-02-04","1.2828"
"2021-02-05","1.2777"
"2021-02-08","1.2753"
"2021-02-09","1.2719"
"2021-02-10","1.2689"
"2021-02-11","1.2686"
"2021-02-12","1.2711"
"2021-02-16","1.2684"
"2021-02-17","1.2712"
"2021-02-18","1.2696"
"2021-02-19","1.2614"
"2021-02-22","1.2613"
"2021-02-23","1.2603"
"2021-02-24","1.2548"
"2021-02-25","1.2530"
"2021-02-26","1.2685"
"2021-03-01","1.2661"
"2021-03-02","1.2626"
"2021-03-03","1.2631"
"2021-03-04","1.2637"
"2021-03-05","1.2668"
"2021-03-08","1.2660"
"2021-03-09","1.2635"
"2021-03-10","1.2637"
"2021-03-11","1.2561"
"2021-03-12","1.2493"
"2021-03-15","1.2480"
"2021-03-16","1.2455"
"2021-03-17","1.2465"
"2021-03-18","1.2458"
"2021-03-19","1.2506"
"2021-03-22","1.2513"
"2021-03-23","1.2562"
"2021-03-24","1.2562"
"2021-03-25","1.2606"
"2021-03-26","1.2580"
"2021-03-29","1.2594"
"2021-03-30","1.2631"
"2021-03-31","1.2575"
"2021-04-01","1.2565"
"2021-04-05","1.2525"
"2021-04-06","1.2559"
"2021-04-07","1.2617"
"2021-04-08","1.2579"
"2021-04-09","1.2544"
"2021-04-12","1.2553"
"2021-04-13","1.2554"
"2021-04-14","1.2533"
"2021-04-15","1.2530"
"2021-04-16","1.2503"
"2021-04-19","1.2519"
"2021-04-20","1.2572"
"2021-04-21","1.2523"
"2021-04-22","1.2500"
"2021-04-23","1.2489"
"2021-04-26","1.2412"
"2021-04-27","1.2403"
"2021-04-28","1.2357"
"2021-04-29","1.2292"
"2021-04-30","1.2285"
"2021-05-03","1.2279"
"2021-05-04","1.2315"
"2021-05-05","1.2272"
"2021-05-06","1.2200"
"2021-05-07","1.2156"
"2021-05-10","1.2095"
"2021-05-11","1.2096"
"2021-05-12","1.2096"
"2021-05-13","1.2150"
"2021-05-14","1.2109"
"2021-05-17","1.2081"
"2021-05-18","1.2051"
"2021-05-19","1.2100"
"2021-05-20","1.2070"
"2021-05-21","1.2061"
"2021-05-25","1.2057"
"2021-05-26","1.2110"
"2021-05-27","1.2073"
"2021-05-28","1.2086"
"2021-05-31","1.2072"
"2021-06-01","1.2040"
"2021-06-02","1.2052"
"2021-06-03","1.2103"
"2021-06-04","1.2084"
"2021-06-07","1.2073"
"2021-06-08","1.2097"
"2021-06-09","1.2095"
"2021-06-10","1.2094"
"2021-06-11","1.2148"
"2021-06-14","1.2142"
"2021-06-15","1.2188"
"2021-06-16","1.2191"
"2021-06-17","1.2341"
"2021-06-18","1.2419"
"2021-06-21","1.2377"
"2021-06-22","1.2356"
"2021-06-23","1.2287"
"2021-06-24","1.2316"
"2021-06-25","1.2294"
"2021-06-28","1.2335"
"2021-06-29","1.2384"
"2021-06-30","1.2394"
"2021-07-02","1.2353"
"2021-07-05","1.2343"
"2021-07-06","1.2446"
"2021-07-07","1.2475"
"2021-07-08","1.2540"
"2021-07-09","1.2476"
"2021-07-12","1.2471"
"2021-07-13","1.2514"
"2021-07-14","1.2497"
"2021-07-15","1.2572"
"2021-07-16","1.2593"
"2021-07-19","1.2759"
"2021-07-20","1.2730"
"2021-07-21","1.2589"
"2021-07-22","1.2567"
"2021-07-23","1.2575"
"2021-07-26","1.2549"
"2021-07-27","1.2578"
"2021-07-28","1.2566"
"2021-07-29","1.2450"
"2021-07-30","1.2462"
"2021-08-03","1.2545"
"2021-08-04","1.2545"
"2021-08-05","1.2497"
"2021-08-06","1.2550"
"2021-08-09","1.2565"
"2021-08-10","1.2540"
"2021-08-11","1.2506"
"2021-08-12","1.2520"
"2021-08-13","1.2514"
"2021-08-16","1.2569"
"2021-08-17","1.2623"
"2021-08-18","1.2630"
"2021-08-19","1.2792"
"2021-08-20","1.2856"
"2021-08-23","1.2682"
"2021-08-24","1.2608"
"2021-08-25","1.2619"
"2021-08-26","1.2651"
"2021-08-27","1.2635"
"2021-08-30","1.2603"
"2021-08-31","1.2617"
"2021-09-01","1.2607"
"2021-09-02","1.2573"
"2021-09-03","1.2518"
"2021-09-07","1.2621"
"2021-09-08","1.2676"
"2021-09-09","1.2654"
"2021-09-10","1.2631"
"2021-09-13","1.2662"
"2021-09-14","1.2661"
"2021-09-15","1.2651"
"2021-09-16","1.2674"
"2021-09-17","1.2721"
"2021-09-20","1.2828"
"2021-09-21","1.2801"
"2021-09-22","1.2756"
"2021-09-23","1.2653"
"2021-09-24","1.2680"
"2021-09-27","1.2637"
"2021-09-28","1.2680"
"2021-09-29","1.2741"
"2021-10-01","1.2654"
